"x","Country","Year","TotalMedallas","PIB"
"1","Afghanistan",2008,1,10109218067.7904
"2","Afghanistan",2012,1,20001615788.6719
"3","Algeria",1984,2,53698278905.9678
"4","Algeria",1992,2,48003298223.1178
"5","Algeria",1996,3,46941496779.8499
"6","Algeria",2000,5,54790245600.5846
"7","Algeria",2008,2,171000691877.714
"8","Algeria",2012,1,209058991952.125
"9","Algeria",2016,2,160129866569.935
"10","Argentina",1964,1,25605249381.7597
"11","Argentina",1968,2,26436857247.4982
"12","Argentina",1972,1,34733000536.2862
"13","Argentina",1988,13,126206817196.091
"14","Argentina",1992,2,228788617201.696
"15","Argentina",1996,20,272149750000
"16","Argentina",2000,20,284203750000
"17","Argentina",2004,49,164657930452.787
"18","Argentina",2008,51,361558037110.419
"19","Argentina",2012,19,545982375701.128
"20","Argentina",2016,22,557531376217.967
"21","Armenia",1996,2,1596968913.27897
"22","Armenia",2000,1,1911563665.39006
"23","Armenia",2008,6,11662040713.8753
"24","Armenia",2012,3,10619320048.5857
"25","Armenia",2016,4,10546135160.031
"26","Australia",1960,46,18577668271.9229
"27","Australia",1964,44,23764139321.3126
"28","Australia",1968,51,32665472057.3412
"29","Australia",1972,20,51967289719.6262
"30","Australia",1976,23,104921215177.108
"31","Australia",1980,13,149776044568.245
"32","Australia",1984,52,193242166274.226
"33","Australia",1988,35,235660651920.838
"34","Australia",1992,57,324873490732.908
"35","Australia",1996,132,400302731411.229
"36","Australia",2000,183,415222633925.768
"37","Australia",2004,157,612490396927.017
"38","Australia",2008,149,1053995523724.26
"39","Australia",2012,114,1546151783872.96
"40","Australia",2016,82,1210028388411.7
"41","Austria",1960,9,6592693841.18495
"42","Austria",1964,17,9169983885.71185
"43","Austria",1968,20,12440625312.8685
"44","Austria",1972,8,22059612417.4058
"45","Austria",1976,8,42959976068.1138
"46","Austria",1980,13,82058912465.4329
"47","Austria",1984,4,67985345161.9558
"48","Austria",1988,13,133339397080.129
"49","Austria",1992,35,195078126346.106
"50","Austria",1996,3,237250948791.266
"51","Austria",2000,4,196799778883.361
"52","Austria",2004,8,300904221504.842
"53","Austria",2008,3,430294287388.311
"54","Austria",2016,2,394052818287.788
"55","Azerbaijan",1996,1,3176703092.30412
"56","Azerbaijan",2000,3,5272617196.04517
"57","Azerbaijan",2004,5,8680370408.05943
"58","Azerbaijan",2008,7,48852482960.0779
"59","Azerbaijan",2012,10,69683935845.2138
"60","Azerbaijan",2016,18,37867518957.1975
"61","Bahamas",1964,2,266666666.666667
"62","Bahamas",1992,1,3.109e+09
"63","Bahamas",1996,5,3.609e+09
"64","Bahamas",2000,11,8076470000
"65","Bahamas",2004,2,9055290000
"66","Bahamas",2008,7,1.0526e+10
"67","Bahamas",2012,4,10720500000
"68","Bahamas",2016,6,11838800000
"69","Bahrain",2012,1,30749308510.6383
"70","Bahrain",2016,2,32250132978.7234
"71","Barbados",2000,1,3121500000
"72","Belarus",1996,23,14756846153.8462
"73","Belarus",2000,22,12736856827.9847
"74","Belarus",2004,15,23144351851.8519
"75","Belarus",2008,29,60763483146.0674
"76","Belarus",2012,23,65685102554.8759
"77","Belarus",2016,12,47722657820.6675
"78","Belgium",1960,4,11658722590.99
"79","Belgium",1964,3,15960106680.6732
"80","Belgium",1968,3,21376353113.475
"81","Belgium",1972,2,37408591329.8506
"82","Belgium",1976,9,71494539498.4326
"83","Belgium",1980,1,127508202372.741
"84","Belgium",1984,5,83795680815.4147
"85","Belgium",1988,2,163167853538.124
"86","Belgium",1992,3,236038384441.656
"87","Belgium",1996,6,281358175895.766
"88","Belgium",2000,7,237904919845.218
"89","Belgium",2004,3,370885026074
"90","Belgium",2008,5,518625897172.99
"91","Belgium",2012,3,497884216568.867
"92","Belgium",2016,21,469677213719.194
"93","Bermuda",1976,1,386300000
"94","Botswana",2012,1,16067155187.0375
"95","Brazil",1960,13,15165569912.5199
"96","Brazil",1964,12,21211892259.9904
"97","Brazil",1968,4,33875881876.3672
"98","Brazil",1972,2,58539008786.3684
"99","Brazil",1976,3,152678020452.829
"100","Brazil",1980,9,235024598983.261
"101","Brazil",1984,36,209023912696.839
"102","Brazil",1988,23,330397381998.489
"103","Brazil",1992,14,400599250000
"104","Brazil",1996,63,850426432991.742
"105","Brazil",2000,48,655420645476.906
"106","Brazil",2004,40,669316654017.094
"107","Brazil",2008,78,1695824565983.2
"108","Brazil",2012,59,2465188674415.03
"109","Brazil",2016,50,1796275437087.99
"110","Bulgaria",1980,91,19839230769.2308
"111","Bulgaria",1988,41,22555941176.4706
"112","Bulgaria",1992,17,10350515463.9175
"113","Bulgaria",1996,21,12184935356.9421
"114","Bulgaria",2000,13,13153016530.8718
"115","Bulgaria",2004,17,25957970922.4811
"116","Bulgaria",2008,5,54409138498.3548
"117","Bulgaria",2012,2,53903022339.0276
"118","Bulgaria",2016,7,53240950226.2443
"119","Burundi",1996,1,869033856.317093
"120","Burundi",2016,1,2959185295.39019
"121","Cameroon",1968,1,1053077155.17925
"122","Cameroon",1984,1,7801858825.18416
"123","Cameroon",2000,18,10083937740.0624
"124","Cameroon",2004,1,17430933517.2998
"125","Cameroon",2008,1,26409781215.1844
"126","Canada",1964,12,50126643039.3997
"127","Canada",1968,30,72919560567.0802
"128","Canada",1972,12,113082820992.019
"129","Canada",1976,26,206575564401.623
